Households_with_Internet,Households_with_Computer,Age_Group_0_29,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone,LR
9626,40190,1487013,14163,327050,0.579639525
5711,28897,891230,7425,206637,0.655270161
7320,39416,1068518,15449,284572,0.672599341
8791,35207,913150,20781,299155,0.720589838
9070,24817,559565,21349,220948,0.786869108
4510,18727,564994,15446,196527,0.71913273
7971,41751,1351461,14929,372910,0.676896057
430880,790103,5275666,414862,2180792,0.780775989
3367,20265,902307,8188,265094,0.636653415
4851,23444,877340,14979,307439,0.689732896
23305,55233,1072417,47655,375945,0.797417652
3308,10758,276918,16963,104109,0.744567815
28397,80086,1580116,40420,472605,0.653814384
1334,11863,519046,3122,122899,0.553765658
9752,52483,1570719,12872,307848,0.556191224
1410,13216,738451,4365,118907,0.434314566
5051,27235,841499,9208,223139,0.661428234
2672,17360,666451,6620,167548,0.624029562
3729,17066,535765,10389,165588,0.695058042
2844,18003,559082,5537,148199,0.623254723
23440,56266,380926,44342,158921,0.81057887
17624,44299,314480,35031,128759,0.78438404
327,1501,33877,245,10023,0.815116405
10378,32484,688763,19438,239445,0.793568792
32653,83940,1187177,44108,503214,0.847574894
4712,15944,412806,13027,155220,0.78978371
36791,107602,1487644,54277,632201,0.847438335
27909,119918,2406005,59145,720497,0.805100756
27162,69440,1395222,43458,533223,0.796990961
56148,132774,1394214,84016,671105,0.858178906
88737,184167,1396968,135307,741106,0.869999525
8250,24863,494456,21976,247060,0.832309865
37849,83999,811653,73096,451226,0.886175136
28842,71593,891512,42404,466736,0.870761622
21015,49466,479207,43382,291089,0.887374605
31542,83133,1177359,58867,569631,0.850077503
71621,155321,1488441,96456,697741,0.843698195
75634,174279,1925296,54505,772398,0.748831309
217368,355838,2271657,146388,1017122,0.812673509
100322,200738,2076492,68427,832716,0.753674856
20623,69912,2096113,20393,653681,0.704698868
6445,27529,1301347,7851,389329,0.659998174
8472,43311,1881463,13030,547305,0.634824118
20660,63867,1737345,30660,650064,0.656382896
8960,31581,817905,18550,352439,0.681182856
18604,58861,1006543,33405,483430,0.662891519
4561,17935,352516,9543,149269,0.774614696
9155,38677,1065734,15538,379839,0.686105729
4915,17995,501585,10648,210748,0.682995567
30046,79588,1346661,28571,537414,0.74899478
1507,7745,291371,2259,103116,0.664911017
1749,8371,380484,2937,134358,0.636650974
15396,50938,1364411,19828,470021,0.696600502
5585,19692,828444,9042,282418,0.750414798
4416,15535,627880,6790,225629,0.74862629
13495,42912,1193095,17231,446982,0.74442223
4494,18272,835853,7882,286329,0.686222653
5773,24456,666218,8222,258837,0.716707702
34097,95311,1528178,30852,618922,0.748269071
4667,18830,618923,6607,209456,0.698355164
10219,37357,987538,9845,353909,0.720175381
5172,22379,708322,5524,252000,0.723299432
11455,35791,887717,14650,344974,0.77117787
19070,63590,1554277,24290,571195,0.738799109
15673,52943,887052,21577,398548,0.828036532
3651,18927,804186,5843,258752,0.609027616
9619,38239,1034474,13381,321489,0.631956757
63273,149920,1579517,87211,777347,0.762253528
17181,55311,1177987,43477,560785,0.710177116
207,597,31973,226,7831,0.706036745
15437,34007,473705,13245,190330,0.764661066
574,1484,19760,858,6913,0.872154199
1868,4870,102333,2550,38555,0.77372117
57,230,18786,193,6669,0.687584822
388,1193,57350,910,19406,0.745125335
2789,6771,128402,5323,52025,0.798960284
